fold,origin,target_time,source_start,prep_minutes,source_status,eligible_alert_order_for_source,scenario,horizon,alarm_source,scenario_label,evaluation_phase,selected_point_model,selected_risk_model
2,2021-08-03 06:30:00,2021-08-03 10:30:00,2021-08-03 10:00:00,30,source_eligible,1.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-03 06:45:00,2021-08-03 10:45:00,2021-08-03 10:00:00,30,source_eligible,2.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-03 07:00:00,2021-08-03 11:00:00,2021-08-03 10:00:00,30,source_eligible,3.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-03 07:15:00,2021-08-03 11:15:00,2021-08-03 11:00:00,30,source_eligible,1.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-03 07:30:00,2021-08-03 11:30:00,2021-08-03 11:00:00,30,source_eligible,2.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-03 07:45:00,2021-08-03 11:45:00,2021-08-03 11:00:00,30,source_eligible,3.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-04 04:15:00,2021-08-04 08:15:00,2021-08-04 08:00:00,30,source_eligible,1.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-04 04:30:00,2021-08-04 08:30:00,2021-08-04 08:00:00,30,source_eligible,2.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-04 04:45:00,2021-08-04 08:45:00,2021-08-04 08:00:00,30,source_eligible,3.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-04 05:00:00,2021-08-04 09:00:00,2021-08-04 08:00:00,30,source_eligible,4.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-04 05:15:00,2021-08-04 09:15:00,2021-08-04 09:00:00,30,source_eligible,1.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-04 05:30:00,2021-08-04 09:30:00,2021-08-04 09:00:00,30,source_eligible,2.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-04 05:45:00,2021-08-04 09:45:00,2021-08-04 09:00:00,30,source_eligible,3.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-04 06:00:00,2021-08-04 10:00:00,2021-08-04 09:00:00,30,source_eligible,4.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-04 06:30:00,2021-08-04 10:30:00,2021-08-04 10:00:00,30,source_eligible,1.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-04 06:45:00,2021-08-04 10:45:00,2021-08-04 10:00:00,30,source_eligible,2.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-04 07:00:00,2021-08-04 11:00:00,2021-08-04 10:00:00,30,source_eligible,3.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-04 07:15:00,2021-08-04 11:15:00,2021-08-04 11:00:00,30,source_eligible,1.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-04 07:30:00,2021-08-04 11:30:00,2021-08-04 11:00:00,30,source_eligible,2.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-04 07:45:00,2021-08-04 11:45:00,2021-08-04 11:00:00,30,source_eligible,3.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-05 04:15:00,2021-08-05 08:15:00,2021-08-05 08:00:00,30,source_eligible,1.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-05 04:30:00,2021-08-05 08:30:00,2021-08-05 08:00:00,30,source_eligible,2.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-05 04:45:00,2021-08-05 08:45:00,2021-08-05 08:00:00,30,source_eligible,3.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-05 05:00:00,2021-08-05 09:00:00,2021-08-05 08:00:00,30,source_eligible,4.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-05 05:15:00,2021-08-05 09:15:00,2021-08-05 09:00:00,30,source_eligible,1.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-05 05:30:00,2021-08-05 09:30:00,2021-08-05 09:00:00,30,source_eligible,2.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-05 05:45:00,2021-08-05 09:45:00,2021-08-05 09:00:00,30,source_eligible,3.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-05 06:00:00,2021-08-05 10:00:00,2021-08-05 09:00:00,30,source_eligible,4.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-05 06:30:00,2021-08-05 10:30:00,2021-08-05 10:00:00,30,source_eligible,1.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-05 06:45:00,2021-08-05 10:45:00,2021-08-05 10:00:00,30,source_eligible,2.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-05 07:00:00,2021-08-05 11:00:00,2021-08-05 10:00:00,30,source_eligible,3.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-05 07:15:00,2021-08-05 11:15:00,2021-08-05 11:00:00,30,source_eligible,1.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-05 07:30:00,2021-08-05 11:30:00,2021-08-05 11:00:00,30,source_eligible,2.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-05 07:45:00,2021-08-05 11:45:00,2021-08-05 11:00:00,30,source_eligible,3.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-06 04:15:00,2021-08-06 08:15:00,2021-08-06 08:00:00,30,source_eligible,1.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-06 04:30:00,2021-08-06 08:30:00,2021-08-06 08:00:00,30,source_eligible,2.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-06 04:45:00,2021-08-06 08:45:00,2021-08-06 08:00:00,30,source_eligible,3.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-06 05:00:00,2021-08-06 09:00:00,2021-08-06 08:00:00,30,source_eligible,4.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-06 05:15:00,2021-08-06 09:15:00,2021-08-06 09:00:00,30,source_eligible,1.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-06 05:30:00,2021-08-06 09:30:00,2021-08-06 09:00:00,30,source_eligible,2.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-06 05:45:00,2021-08-06 09:45:00,2021-08-06 09:00:00,30,source_eligible,3.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-06 06:00:00,2021-08-06 10:00:00,2021-08-06 09:00:00,30,source_eligible,4.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-06 06:30:00,2021-08-06 10:30:00,2021-08-06 10:00:00,30,source_eligible,1.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-06 06:45:00,2021-08-06 10:45:00,2021-08-06 10:00:00,30,source_eligible,2.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-06 07:00:00,2021-08-06 11:00:00,2021-08-06 10:00:00,30,source_eligible,3.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-06 07:15:00,2021-08-06 11:15:00,2021-08-06 11:00:00,30,source_eligible,1.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-06 07:30:00,2021-08-06 11:30:00,2021-08-06 11:00:00,30,source_eligible,2.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
2,2021-08-06 07:45:00,2021-08-06 11:45:00,2021-08-06 11:00:00,30,source_eligible,3.0,C,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-15 04:15:00,2021-04-15 08:15:00,2021-04-15 08:00:00,60,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-15 08:00:00,2021-04-15 12:00:00,2021-04-15 11:00:00,60,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-15 09:15:00,2021-04-15 13:15:00,2021-04-15 13:00:00,60,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-15 09:30:00,2021-04-15 13:30:00,2021-04-15 13:00:00,60,source_eligible,2.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-15 09:45:00,2021-04-15 13:45:00,2021-04-15 13:00:00,60,source_eligible,3.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-15 10:00:00,2021-04-15 14:00:00,2021-04-15 13:00:00,60,source_eligible,4.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-15 10:30:00,2021-04-15 14:30:00,2021-04-15 14:00:00,60,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-15 10:45:00,2021-04-15 14:45:00,2021-04-15 14:00:00,60,source_eligible,2.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-15 11:00:00,2021-04-15 15:00:00,2021-04-15 14:00:00,60,source_eligible,3.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-15 11:30:00,2021-04-15 15:30:00,2021-04-15 15:00:00,60,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-15 11:45:00,2021-04-15 15:45:00,2021-04-15 15:00:00,60,source_eligible,2.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-15 12:00:00,2021-04-15 16:00:00,2021-04-15 15:00:00,60,source_eligible,3.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 04:15:00,2021-04-16 08:15:00,2021-04-16 08:00:00,60,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 04:30:00,2021-04-16 08:30:00,2021-04-16 08:00:00,60,source_eligible,2.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 04:45:00,2021-04-16 08:45:00,2021-04-16 08:00:00,60,source_eligible,3.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 05:00:00,2021-04-16 09:00:00,2021-04-16 08:00:00,60,source_eligible,4.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 05:15:00,2021-04-16 09:15:00,2021-04-16 09:00:00,60,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 05:30:00,2021-04-16 09:30:00,2021-04-16 09:00:00,60,source_eligible,2.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 05:45:00,2021-04-16 09:45:00,2021-04-16 09:00:00,60,source_eligible,3.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 06:00:00,2021-04-16 10:00:00,2021-04-16 09:00:00,60,source_eligible,4.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 06:45:00,2021-04-16 10:45:00,2021-04-16 10:00:00,60,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 07:00:00,2021-04-16 11:00:00,2021-04-16 10:00:00,60,source_eligible,2.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 07:45:00,2021-04-16 11:45:00,2021-04-16 11:00:00,60,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 08:00:00,2021-04-16 12:00:00,2021-04-16 11:00:00,60,source_eligible,2.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 09:15:00,2021-04-16 13:15:00,2021-04-16 13:00:00,60,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 09:30:00,2021-04-16 13:30:00,2021-04-16 13:00:00,60,source_eligible,2.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 09:45:00,2021-04-16 13:45:00,2021-04-16 13:00:00,60,source_eligible,3.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 10:00:00,2021-04-16 14:00:00,2021-04-16 13:00:00,60,source_eligible,4.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 10:30:00,2021-04-16 14:30:00,2021-04-16 14:00:00,60,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 10:45:00,2021-04-16 14:45:00,2021-04-16 14:00:00,60,source_eligible,2.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 11:00:00,2021-04-16 15:00:00,2021-04-16 14:00:00,60,source_eligible,3.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 11:30:00,2021-04-16 15:30:00,2021-04-16 15:00:00,60,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 11:45:00,2021-04-16 15:45:00,2021-04-16 15:00:00,60,source_eligible,2.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 12:00:00,2021-04-16 16:00:00,2021-04-16 15:00:00,60,source_eligible,3.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 13:00:00,2021-04-16 17:00:00,2021-04-16 16:00:00,60,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 14:30:00,2021-04-16 18:30:00,2021-04-16 18:00:00,60,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 14:45:00,2021-04-16 18:45:00,2021-04-16 18:00:00,60,source_eligible,2.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 15:00:00,2021-04-16 19:00:00,2021-04-16 18:00:00,60,source_eligible,3.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 15:15:00,2021-04-16 19:15:00,2021-04-16 19:00:00,60,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-17 04:30:00,2021-04-17 08:30:00,2021-04-17 08:00:00,60,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-17 04:45:00,2021-04-17 08:45:00,2021-04-17 08:00:00,60,source_eligible,2.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-17 05:00:00,2021-04-17 09:00:00,2021-04-17 08:00:00,60,source_eligible,3.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-17 05:45:00,2021-04-17 09:45:00,2021-04-17 09:00:00,60,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-17 06:45:00,2021-04-17 10:45:00,2021-04-17 10:00:00,60,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-19 05:00:00,2021-04-19 09:00:00,2021-04-19 08:00:00,60,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-19 08:00:00,2021-04-19 12:00:00,2021-04-19 11:00:00,60,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-19 09:15:00,2021-04-19 13:15:00,2021-04-19 13:00:00,60,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-19 09:30:00,2021-04-19 13:30:00,2021-04-19 13:00:00,60,source_eligible,2.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-19 09:45:00,2021-04-19 13:45:00,2021-04-19 13:00:00,60,source_eligible,3.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-19 10:00:00,2021-04-19 14:00:00,2021-04-19 13:00:00,60,source_eligible,4.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-19 10:15:00,2021-04-19 14:15:00,2021-04-19 14:00:00,60,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-19 10:30:00,2021-04-19 14:30:00,2021-04-19 14:00:00,60,source_eligible,2.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-19 10:45:00,2021-04-19 14:45:00,2021-04-19 14:00:00,60,source_eligible,3.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-19 11:00:00,2021-04-19 15:00:00,2021-04-19 14:00:00,60,source_eligible,4.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-19 11:30:00,2021-04-19 15:30:00,2021-04-19 15:00:00,60,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-19 11:45:00,2021-04-19 15:45:00,2021-04-19 15:00:00,60,source_eligible,2.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-19 12:00:00,2021-04-19 16:00:00,2021-04-19 15:00:00,60,source_eligible,3.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-19 12:15:00,2021-04-19 16:15:00,2021-04-19 16:00:00,60,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-20 09:15:00,2021-04-20 13:15:00,2021-04-20 13:00:00,60,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-20 09:30:00,2021-04-20 13:30:00,2021-04-20 13:00:00,60,source_eligible,2.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-20 09:45:00,2021-04-20 13:45:00,2021-04-20 13:00:00,60,source_eligible,3.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-20 10:00:00,2021-04-20 14:00:00,2021-04-20 13:00:00,60,source_eligible,4.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-20 10:15:00,2021-04-20 14:15:00,2021-04-20 14:00:00,60,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-20 10:30:00,2021-04-20 14:30:00,2021-04-20 14:00:00,60,source_eligible,2.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-20 10:45:00,2021-04-20 14:45:00,2021-04-20 14:00:00,60,source_eligible,3.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-20 11:00:00,2021-04-20 15:00:00,2021-04-20 14:00:00,60,source_eligible,4.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-20 11:30:00,2021-04-20 15:30:00,2021-04-20 15:00:00,60,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-20 11:45:00,2021-04-20 15:45:00,2021-04-20 15:00:00,60,source_eligible,2.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
